city	baseline_eur	source	last_updated
Barcelona	2150	numbeo Barcelona 2026-08	2026-08-08
Warsaw	1800	numbeo Warsaw 2026-08	2026-08-08
Milan	2450	numbeo Milan 2026-08	2026-08-08
Madrid	2200	numbeo Madrid 2026-08	2026-08-08
Rome	2050	numbeo Rome 2026-08	2026-08-08
Amsterdam	3050	numbeo Amsterdam 2026-08	2026-08-08
London	3800	numbeo London 2026-08	2026-08-08
